1779646216,create type Person 3 1 id int name str age int,success
1779646216,create record Person 1 Alice 30,success
1779646216,create record Person 2 Bob 25,success
1779646216,create record Person 3 Clara 35,success
1779646216,create record Person 4 Deniz 40,success
1779646216,search record Person 2,success
1779646216,range_search Person id 2 4,success
1779646216,range_search Person age 20 30,success
1779646216,stats,success
1779646244,search record Person 2,success
1779646244,range_search Person age 20 30,success
1779646244,stats,success
